"Date","Level","NumBlocks","IsWin","ElapsedTime","Score","Accuracy"
"9/7/2019 4:12:01 PM","Level_520","29","False","20.81803","1600","0.3019428"
"9/7/2019 4:12:29 PM","Level_378","27","True","26.96194","3050","0.3964929"
"9/7/2019 4:12:50 PM","Level_379","28","True","21.22931","1400","0.3553952"
"9/7/2019 4:12:51 PM","Level_380","32","False","0.4700737","0","0.3007349"
"9/7/2019 4:13:03 PM","Level_660","28","False","11.41049","800","0.3276645"
"9/7/2019 4:13:25 PM","Level_519","21","True","20.67342","1500","0.3412625"
"9/7/2019 4:13:46 PM","Level_520","29","True","21.35506","2700","0.3083508"
"9/7/2019 4:14:06 PM","Level_596","50","True","19.92228","4000","0.374025"
"9/7/2019 4:14:07 PM","Level_604","56","False","0.8390029","50","0.3162147"
"9/7/2019 4:14:35 PM","Level_380","32","False","26.69171","2800","0.3340935"
"9/7/2019 4:15:07 PM","Level_660","28","True","31.97157","2600","0.3521855"
"9/7/2019 4:15:38 PM","Level_715","42","True","30.74899","4050","0.3568827"
"9/7/2019 4:16:08 PM","Level_798","50","True","29.79992","4000","0.3941358"
"9/7/2019 4:16:52 PM","Level_846","18","False","43.73838","1100","0.3452079"
"9/7/2019 4:16:55 PM","Level_798","50","False","1.806231","350","0.3217475"
"9/7/2019 4:17:13 PM","Level_519","21","True","17.56941","1500","0.348275"
"9/7/2019 4:17:31 PM","Level_520","29","True","17.89543","2700","0.3544154"
"9/7/2019 4:18:00 PM","Level_596","50","True","28.85877","4000","0.379945"
"9/7/2019 4:18:11 PM","Level_604","56","False","11.16985","2200","0.3046495"
"9/7/2019 4:19:11 PM","Level_846","18","True","59.23524","1500","0.3919724"
"9/7/2019 4:19:47 PM","Level_847","29","True","35.6041","2750","0.3772895"
"9/7/2019 4:20:08 PM","Level_848","48","False","20.53093","2550","0.3517381"
"9/7/2019 4:20:19 PM","Level_604","56","False","10.63546","1300","0.3376151"
"9/7/2019 4:21:41 PM","Level_848","48","True","80.7807","4800","0.3870491"
"9/7/2019 4:22:07 PM","Level_849","43","True","26.61222","3650","0.3892224"
"9/7/2019 4:22:34 PM","Level_378","27","False","26.34288","2850","0.3168141"
"9/7/2019 4:22:55 PM","Level_493","56","False","20.15546","4050","0.3171518"
"9/7/2019 4:23:18 PM","Level_848","48","False","22.64176","2650","0.3748962"
"9/7/2019 4:23:32 PM","Level_798","50","False","12.64122","1400","0.3282706"
"9/7/2019 4:23:42 PM","Level_847","29","False","9.686099","0","0.3105422"
"9/7/2019 4:24:08 PM","Level_378","27","True","25.32902","3050","0.3310886"
"9/7/2019 4:24:18 PM","Level_379","28","True","9.35867","1400","0.357596"
"9/7/2019 4:24:59 PM","Level_380","32","True","40.93537","3600","0.3141877"
"9/7/2019 4:25:07 PM","Level_491","35","False","7.633329","1150","0.3189328"
"9/7/2019 4:25:26 PM","Level_378","27","True","19.08459","3050","0.3607197"
"9/7/2019 4:25:31 PM","Level_379","28","False","4.451134","1100","0.3549478"
"9/7/2019 4:25:34 PM","Level_596","50","False","1.751833","0","0.3172451"
"9/7/2019 4:25:38 PM","Level_380","32","False","3.987676","600","0.3104987"
"9/7/2019 4:25:52 PM","Level_380","32","False","12.78598","1800","0.3162107"
"9/7/2019 4:25:55 PM","Level_660","28","False","1.922086","100","0.3124648"
"9/7/2019 4:27:08 PM","Level_492","112","False","72.56393","11350","0.3464749"
"9/7/2019 4:27:25 PM","Level_494","40","True","16.17165","2150","0.3767777"
"9/7/2019 4:27:36 PM","Level_519","21","False","10.47978","1050","0.3606316"
"9/7/2019 4:27:52 PM","Level_519","21","True","15.94492","1500","0.3769682"
"9/7/2019 4:28:19 PM","Level_520","29","True","27.05849","2700","0.3460985"
"9/7/2019 4:28:35 PM","Level_596","50","True","15.72131","4000","0.3907019"
"9/7/2019 4:28:51 PM","Level_604","56","False","15.36846","2500","0.3466129"
"9/7/2019 4:29:04 PM","Level_715","42","False","12.76461","2700","0.3495529"
"9/7/2019 4:30:09 PM","Level_846","18","True","63.46335","1500","0.379715"
"9/7/2019 4:30:37 PM","Level_847","29","False","28.54035","50","0.3911933"
"9/7/2019 4:30:39 PM","Level_494","40","False","1.095478","300","0.329945"
"9/7/2019 4:31:01 PM","Level_798","50","False","21.02953","3600","0.3217837"
"9/7/2019 4:31:45 PM","Level_848","48","True","43.05255","4800","0.3474881"
"9/7/2019 4:32:12 PM","Level_849","43","True","26.54856","3650","0.3866127"
"9/7/2019 4:32:18 PM","Level_378","27","False","6.098257","850","0.3035178"
"9/7/2019 4:32:40 PM","Level_378","27","False","21.07816","2750","0.3071022"
